Trends,Search volume,Started,Ended,Trend breakdown,Explore link
ananya pandey,500+,"September 3, 2024 at 5:40:00 AM UTC+5:30",,ananya pandey,https://trends.google.com/trends/explore?q=ananya%20pandey&geo=IN&hl=en
sumit antil paralympics 2024,10K+,"September 2, 2024 at 11:00:00 PM UTC+5:30",,"sumit antil paralympics 2024,paralympics medals tally,paris paralympics 2024 india,paralympic 2024,india paralympics,athletics paralympics 2024 medals,paralympics 2024 medal list,paralympics javelin throw,where to watch paralympics,javelin throw paralympics,paralympics 2024 schedule india,devendra jhajharia,shooting sport paralympics 2024 schedule,india at the paralympics schedule,india at paralympics,paralympics 2024: india",https://trends.google.com/trends/explore?q=sumit%20antil%20paralympics%202024&geo=IN&hl=en
indian football team,2K+,"September 2, 2024 at 8:20:00 AM UTC+5:30",,"indian football team,india vs mauritius",https://trends.google.com/trends/explore?q=indian%20football%20team&geo=IN&hl=en
rohan bopanna,1K+,"September 2, 2024 at 11:50:00 PM UTC+5:30",,"rohan bopanna,aldila sutjiadi",https://trends.google.com/trends/explore?q=rohan%20bopanna&geo=IN&hl=en
vedanta dividend,5K+,"September 2, 2024 at 5:00:00 PM UTC+5:30",,"vedanta dividend,vedanta share,vedanta share price",https://trends.google.com/trends/explore?q=vedanta%20dividend&geo=IN&hl=en
beluga whale norway russian spy,1K+,"September 2, 2024 at 8:20:00 PM UTC+5:30",,beluga whale norway russian spy,https://trends.google.com/trends/explore?q=beluga%20whale%20norway%20russian%20spy&geo=IN&hl=en
yulia putintseva,1K+,"September 2, 2024 at 3:00:00 PM UTC+5:30",,yulia putintseva,https://trends.google.com/trends/explore?q=yulia%20putintseva&geo=IN&hl=en
mig 29,1K+,"September 2, 2024 at 11:10:00 PM UTC+5:30",,"mig 29,rajasthan,mig 29 crash",https://trends.google.com/trends/explore?q=mig%2029&geo=IN&hl=en
vishwakarma puja 2024,2K+,"September 2, 2024 at 8:00:00 AM UTC+5:30",,vishwakarma puja 2024,https://trends.google.com/trends/explore?q=vishwakarma%20puja%202024&geo=IN&hl=en
ssc cpo paper,20K+,"September 3, 2024 at 2:30:00 AM UTC+5:30",,"ssc cpo paper,ssc cpo result 2024,ssc cpo,ssc,ssc.gov.in,cpo result 2024,ssc cpo result,cpo result,ssc gov in,cpo,ssc gov,ssc.gov .in",https://trends.google.com/trends/explore?q=ssc%20cpo%20paper&geo=IN&hl=en
